,urlkey,timestamp,original,mimetype,statuscode,digest,length,year,month,day
0,"com,predpol,blog)/lapd-division-credits-predpol-for-no-crime-day",20201031162852,https://blog.predpol.com/lapd-division-credits-predpol-for-no-crime-day,text/html,200,LZFO3Q3VMT36KYUWJY5TE6XYPG6ZOWZ3,9443,2020,10,31
1,"com,predpol,blog)/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms",20181028095843,http://blog.predpol.com:80/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,text/html,200,U2L6PCZASVTXIG63OJV5MQ4VU5UMUGP6,9039,2018,10,28
2,"com,predpol,blog)/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms",20210318183933,https://blog.predpol.com/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,text/html,200,DBRDRA3KMQFQEPIMI4CJIWNCO2ZHB2LH,11467,2021,03,18
3,"com,predpol,blog)/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms",20210507004255,https://blog.predpol.com/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,text/html,200,SJT6W5NNGF7A46KJ6QDWRJ6JZFDDEYET,11008,2021,05,07
4,"com,predpol,blog)/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms",20210723183929,https://blog.predpol.com/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,text/html,200,G744EKSS4V25V5TWBYZGBQZQZSHP3JU2,10992,2021,07,23
5,"com,predpol,blog)/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms",20220704023647,https://blog.predpol.com/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,text/html,200,2Z6Y5WVZNE6JE2BPKVF5YGF4DPWDYFLZ,10992,2022,07,04
6,"com,predpol,blog)/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms",20230322091021,https://blog.predpol.com/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,text/html,200,NP3SQN5GKWXUJNRH32RXD6KA76GRLM4A,11127,2023,03,22
7,"com,predpol,blog)/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms",20230626124217,https://blog.predpol.com/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,text/html,200,PFYWMB5PIRAY6NT2XJGLZXKVJT7FMKW6,8738,2023,06,26
8,"com,predpol,blog)/new-feature-spotlight-patrol-status",20191025182807,http://blog.predpol.com:80/new-feature-spotlight-patrol-status,text/html,200,M3RWKHDJME75BVEISGK74MEPFMX6QHNV,10259,2019,10,25
9,"com,predpol,blog)/new-feature-spotlight-patrol-status",20191224212956,http://blog.predpol.com:80/new-feature-spotlight-patrol-status,text/html,200,PVJGRKUTFMHSNHZEDPQPOYQYAFCFPH36,10491,2019,12,24
10,"com,predpol,blog)/new-feature-spotlight-patrol-status",20200223033448,http://blog.predpol.com:80/new-feature-spotlight-patrol-status,text/html,200,35ZXYCTHJWXPLCEOOXD3VTVA6IGGMYGL,10504,2020,02,23
11,"com,predpol,blog)/new-feature-spotlight-patrol-status",20200423232849,http://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,475NT5VNMLQSTOLYXCKZL67FCXJR26CO,11349,2020,04,23
12,"com,predpol,blog)/new-feature-spotlight-patrol-status",20200425054545,http://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,R6YDMAJDZYHTLN7EHN5XFNH2C6MAEZ7L,10662,2020,04,25
13,"com,predpol,blog)/new-feature-spotlight-patrol-status",20200513135842,http://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,52SDTXVA57KNT5SXOLKPPVB7YDQMKCZA,10651,2020,05,13
14,"com,predpol,blog)/new-feature-spotlight-patrol-status",20200911072719,http://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,RN5V2JO5DN326MT2PGEMOT3BLKBFEIVY,10727,2020,09,11
15,"com,predpol,blog)/new-feature-spotlight-patrol-status",20200920013157,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,VCHYLTJGZFWNBORL2IBT5QUVLAZ4YCHB,11177,2020,09,20
16,"com,predpol,blog)/new-feature-spotlight-patrol-status",20201026005405,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,ZJMG6MAQPUWOJLP2C54USJKHXMF2FNZH,11191,2020,10,26
17,"com,predpol,blog)/new-feature-spotlight-patrol-status",20210117121158,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,4IAJRU34VYGEGJJ3HNHQT3SKPPHLHTE7,11227,2021,01,17
18,"com,predpol,blog)/new-feature-spotlight-patrol-status",20210318174328,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,V33PIWAZYHRPTPN5NPZTFZYTXSJGSGLU,12163,2021,03,18
19,"com,predpol,blog)/new-feature-spotlight-patrol-status",20210420125809,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,5G4L6J6QGGVWUJ6GXFB3EOQIEAK25LJ4,11748,2021,04,20
20,"com,predpol,blog)/new-feature-spotlight-patrol-status",20210926001746,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,4BXEU3ETOIRDMCC5COWOQJX3ED37SG5A,11766,2021,09,26
21,"com,predpol,blog)/new-feature-spotlight-patrol-status",20220128082102,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,KXLDDTRDWKEKEEHH4EGDB3HW5JBOPNK7,11755,2022,01,28
22,"com,predpol,blog)/new-feature-spotlight-patrol-status",20220704024003,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,54JR7YUFY5TS5GKDC25FEWKPGUMUIV4R,11737,2022,07,04
23,"com,predpol,blog)/new-feature-spotlight-patrol-status",20221130234130,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,G2FZN5G7BEYGSFNFEEZGZXQ2M7T72WEA,11895,2022,11,30
24,"com,predpol,blog)/new-feature-spotlight-patrol-status",20230322091355,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,ZP3LGPJKFVFZEOC3LSXSUE3OYO2XMAIK,11868,2023,03,22
25,"com,predpol,blog)/new-feature-spotlight-patrol-status",20230626125009,https://blog.predpol.com/new-feature-spotlight-patrol-status,text/html,200,PHSQVHZD6KDTNEHBCLHU6POV43Z5G7RW,9359,2023,06,26
26,"com,predpol,blog)/predpol-iacp-2016-san-diego",20170726111906,http://blog.predpol.com:80/predpol-iacp-2016-san-diego,text/html,200,HSVVTSTV3MTAW7GNV2GHFSSZ6V2R5ASJ,7912,2017,07,26
27,"com,predpol,blog)/predpol-iacp-2016-san-diego",20201031162641,https://blog.predpol.com/predpol-iacp-2016-san-diego,text/html,200,6TP2ZHBOTMZFPP2LMM735QDIIDYGHHC5,8751,2020,10,31
28,"com,predpol,blog)/predpol-iacp-2016-san-diego",20230127014236,https://blog.predpol.com/predpol-iacp-2016-san-diego,text/html,200,JKSMRLOGYRQNHOI254BHZ7ZXYMGDJKXG,9452,2023,01,27
29,"com,predpol,blog)/tag/community-policing/page/3",20210507015014,https://blog.predpol.com/tag/community-policing/page/3,text/html,200,45MRD5DY6IE2TEARYJCCHIL5YD32TO4K,9535,2021,05,07
30,"com,predpol,blog)/tag/community-policing/page/3",20230127020640,https://blog.predpol.com/tag/community-policing/page/3,text/html,200,VI52AIPBITPUWWSQHNAN6GYYU7FG2AFM,9049,2023,01,27
31,"com,predpol,blog)/tag/community-policing/page/3",20230609051834,https://blog.predpol.com/tag/community-policing/page/3,text/html,200,7AOPRP34Y5GJKYHUDPJESI7GQ4DZ2LCT,8690,2023,06,09
32,"com,predpol,blog)/tag/los-gatos-police",20170726173841,http://blog.predpol.com:80/tag/los-gatos-police,text/html,200,4QZXQHQ3FVTYEHVAN2VZIYIENPZ7COB6,7289,2017,07,26
33,"com,predpol,blog)/tag/salinas-police",20170726174710,http://blog.predpol.com:80/tag/salinas-police,text/html,200,ZXLFDFHAZMDGC6Z37IDTCVPIPPS4GPOI,7290,2017,07,26
34,"com,predpol,blog)/tag/ucla/page/2",20200702131725,http://blog.predpol.com/tag/ucla/page/2,text/html,200,U5DVBJR3YVIGPA224LYAP2QLJLVBUZ3O,10221,2020,07,02
35,"com,predpol,blog)/tag/ucla/page/2",20201031170055,https://blog.predpol.com/tag/ucla/page/2,text/html,200,FDAM7JO4GYDWWCAESVNOCAQRGS6AWJAD,10673,2020,10,31
36,"com,predpol,blog)/tag/news",20181218224310,http://blog.predpol.com:80/tag/news,text/html,200,KPJDSJLROGDH5JJKS7IRWVWVGCSVGGB5,9429,2018,12,18
37,"com,predpol,blog)/tag/news",20190217201320,http://blog.predpol.com:80/tag/news,text/html,200,CHOB6GX7IICVYHZ3RECNF3252L6X4LZ6,10684,2019,02,17
38,"com,predpol,blog)/tag/news",20190420130246,http://blog.predpol.com:80/tag/news,text/html,200,LCAT6A36G3MIN7JAVS63PA6TO2S2GK3L,10488,2019,04,20
39,"com,predpol,blog)/tag/news",20190620052556,http://blog.predpol.com:80/tag/news,text/html,200,E3CA3D66AEMVKTSDYDV264NXBQF2REQ7,10320,2019,06,20
40,"com,predpol,blog)/tag/news",20190819121352,http://blog.predpol.com:80/tag/news,text/html,200,4MSRLLLCY653ZSSCRH4ACFRLVPFOX6WO,10411,2019,08,19
41,"com,predpol,blog)/tag/news",20191023091832,http://blog.predpol.com:80/tag/news,text/html,200,46WYLQS6XX2OANU7PPQJQ2TB24WUKCW7,10768,2019,10,23
42,"com,predpol,blog)/tag/news",20191222135535,http://blog.predpol.com:80/tag/news,text/html,200,C5SXZ2QO6M5CB3CAGUGM6XYHKNI4RSNJ,10636,2019,12,22
43,"com,predpol,blog)/tag/news",20200220171429,http://blog.predpol.com:80/tag/news,text/html,200,6SR3EPMVNUME4B5BV56W5JN4SZBELBDG,10810,2020,02,20
44,"com,predpol,blog)/tag/news",20200423232849,https://blog.predpol.com/tag/news,text/html,200,6HC2ZAXNYJWA6HHUQ5M6Q7DFCISANFW5,11825,2020,04,23
45,"com,predpol,blog)/tag/news",20200423232849,https://blog.predpol.com/tag/news,text/html,200,6HC2ZAXNYJWA6HHUQ5M6Q7DFCISANFW5,11945,2020,04,23
46,"com,predpol,blog)/tag/news",20200702071712,http://blog.predpol.com/tag/news,text/html,200,R7YNLP5NU4LMD75MG7HO5IZJPJF3IDYQ,11209,2020,07,02
47,"com,predpol,blog)/tag/news",20200920015340,https://blog.predpol.com/tag/news,text/html,200,TVFJAEFTHMVMBKNEDYJXNEIVCZDSOQAT,11714,2020,09,20
48,"com,predpol,blog)/tag/news",20201026015943,https://blog.predpol.com/tag/news,text/html,200,RTUB7F54PQFOAVT2J5KOEOGMJSCDK3Y5,11695,2020,10,26
49,"com,predpol,blog)/tag/news",20210117132056,https://blog.predpol.com/tag/news,text/html,200,GEC4APG22V6LCSX6CD6EGMX4CLARSNGD,11747,2021,01,17
50,"com,predpol,blog)/tag/news",20210420141110,https://blog.predpol.com/tag/news,text/html,200,MOLVBMXDBCAZ5SKEKWFDJHS2OZEAPZEN,12414,2021,04,20
51,"com,predpol,blog)/tag/news",20210723200935,https://blog.predpol.com/tag/news,text/html,200,B4NKM5OUIEZEWAEFMWAHA6VBGFWQIO6V,12393,2021,07,23
52,"com,predpol,blog)/tag/news",20211027043331,https://blog.predpol.com/tag/news,text/html,200,55FR7GNMYSDCA5OS5UVBNUTC5SQWKUGK,12413,2021,10,27
53,"com,predpol,blog)/tag/news",20220522181130,https://blog.predpol.com/tag/news,text/html,200,2COX5CPC3MCZI4CJXNAMOJ5ZZSD3JXEL,12379,2022,05,22
54,"com,predpol,blog)/tag/news",20220925121622,https://blog.predpol.com/tag/news,text/html,200,TP6L4HNXP7JRRPAYERUXDCYEMTW32XH5,12526,2022,09,25
55,"com,predpol,blog)/tag/news",20230127022443,https://blog.predpol.com/tag/news,text/html,200,5ECETTKLPSREPDJZ3HXJCXGPMSHV3LN5,12509,2023,01,27
